x y solution
0 0 0
0.0666667 0 0
0.133333 0 0
0.2 0 0
0.266667 0 0
0.333333 0 0
0.4 0 0
0.466667 0 0
0.533333 0 0
0.6 0 0
0.666667 0 0
0.733333 0 0
0.8 0 0
0.866667 0 0
0.933333 0 0
1 0 0
0 0.0666667 0
0.0666667 0.0666667 0.167875
0.133333 0.0666667 0.306723
0.2 0.0666667 0.392536
0.266667 0.0666667 0.410475
0.333333 0.0666667 0.35744
0.4 0.0666667 0.2426
0.466667 0.0666667 0.0858127
0.533333 0.0666667 -0.0858127
0.6 0.0666667 -0.2426
0.666667 0.0666667 -0.35744
0.733333 0.0666667 -0.410475
0.8 0.0666667 -0.392536
0.866667 0.0666667 -0.306723
0.933333 0.0666667 -0.167875
1 0.0666667 0
0 0.133333 0
0.0666667 0.133333 0.306723
0.133333 0.133333 0.560411
0.2 0.133333 0.717198
0.266667 0.133333 0.749976
0.333333 0.133333 0.653076
0.4 0.133333 0.443253
0.466667 0.133333 0.156788
0.533333 0.133333 -0.156788
0.6 0.133333 -0.443253
0.666667 0.133333 -0.653076
0.733333 0.133333 -0.749976
0.8 0.133333 -0.717198
0.866667 0.133333 -0.560411
0.933333 0.133333 -0.306723
1 0.133333 0
0 0.2 0
0.0666667 0.2 0.392536
0.133333 0.2 0.717198
0.2 0.2 0.917851
0.266667 0.2 0.959799
0.333333 0.2 0.835788
0.4 0.2 0.567263
0.466667 0.2 0.200653
0.533333 0.2 -0.200653
0.6 0.2 -0.567263
0.666667 0.2 -0.835788
0.733333 0.2 -0.959799
0.8 0.2 -0.917851
0.866667 0.2 -0.717198
0.933333 0.2 -0.392536
1 0.2 0
0 0.266667 0
0.0666667 0.266667 0.410475
0.133333 0.266667 0.749976
0.2 0.266667 0.959799
0.266667 0.266667 1.00366
0.333333 0.266667 0.873986
0.4 0.266667 0.593188
0.466667 0.266667 0.209823
0.533333 0.266667 -0.209823
0.6 0.266667 -0.593188
0.666667 0.266667 -0.873986
0.733333 0.266667 -1.00366
0.8 0.266667 -0.959799
0.866667 0.266667 -0.749976
0.933333 0.266667 -0.410475
1 0.266667 0
0 0.333333 0
0.0666667 0.333333 0.35744
0.133333 0.333333 0.653076
0.2 0.333333 0.835788
0.266667 0.333333 0.873986
0.333333 0.333333 0.761063
0.4 0.333333 0.516546
0.466667 0.333333 0.182713
0.533333 0.333333 -0.182713
0.6 0.333333 -0.516546
0.666667 0.333333 -0.761063
0.733333 0.333333 -0.873986
0.8 0.333333 -0.835788
0.866667 0.333333 -0.653076
0.933333 0.333333 -0.35744
1 0.333333 0
0 0.4 0
0.0666667 0.4 0.2426
0.133333 0.4 0.443253
0.2 0.4 0.567263
0.266667 0.4 0.593188
0.333333 0.4 0.516546
0.4 0.4 0.350588
0.466667 0.4 0.12401
0.533333 0.4 -0.12401
0.6 0.4 -0.350588
0.666667 0.4 -0.516546
0.733333 0.4 -0.593188
0.8 0.4 -0.567263
0.866667 0.4 -0.443253
0.933333 0.4 -0.2426
1 0.4 0
0 0.466667 0
0.0666667 0.466667 0.0858127
0.133333 0.466667 0.156788
0.2 0.466667 0.200653
0.266667 0.466667 0.209823
0.333333 0.466667 0.182713
0.4 0.466667 0.12401
0.466667 0.466667 0.0438649
0.533333 0.466667 -0.0438649
0.6 0.466667 -0.12401
0.666667 0.466667 -0.182713
0.733333 0.466667 -0.209823
0.8 0.466667 -0.200653
0.866667 0.466667 -0.156788
0.933333 0.466667 -0.0858127
1 0.466667 0
0 0.533333 0
0.0666667 0.533333 -0.0858127
0.133333 0.533333 -0.156788
0.2 0.533333 -0.200653
0.266667 0.533333 -0.209823
0.333333 0.533333 -0.182713
0.4 0.533333 -0.12401
0.466667 0.533333 -0.0438649
0.533333 0.533333 0.0438649
0.6 0.533333 0.12401
0.666667 0.533333 0.182713
0.733333 0.533333 0.209823
0.8 0.533333 0.200653
0.866667 0.533333 0.156788
0.933333 0.533333 0.0858127
1 0.533333 0
0 0.6 0
0.0666667 0.6 -0.2426
0.133333 0.6 -0.443253
0.2 0.6 -0.567263
0.266667 0.6 -0.593188
0.333333 0.6 -0.516546
0.4 0.6 -0.350588
0.466667 0.6 -0.12401
