x, y, solution
0,0,0
0.0322581,0,0
0.0645161,0,0
0.0967742,0,0
0.129032,0,0
0.16129,0,0
0.193548,0,0
0.225806,0,0
0.258065,0,0
0.290323,0,0
0.322581,0,0
0.354839,0,0
0.387097,0,0
0.419355,0,0
0.451613,0,0
0.483871,0,0
0.516129,0,0
0.548387,0,0
0.580645,0,0
0.612903,0,0
0.645161,0,0
0.677419,0,0
0.709677,0,0
0.741935,0,0
0.774194,0,0
0.806452,0,0
0.83871,0,0
0.870968,0,0
0.903226,0,0
0.935484,0,0
0.967742,0,0
1,0,0
0,0.0322581,0
0.0322581,0.0322581,0.0406601
0.0645161,0.0322581,0.0796556
0.0967742,0.0322581,0.11539
0.129032,0.0322581,0.1464
0.16129,0.0322581,0.171417
0.193548,0.0322581,0.189416
0.225806,0.0322581,0.19966
0.258065,0.0322581,0.20173
0.290323,0.0322581,0.195541
0.322581,0.0322581,0.181347
0.354839,0.0322581,0.159728
0.387097,0.0322581,0.13157
0.419355,0.0322581,0.0980257
0.451613,0.0322581,0.0604681
0.483871,0.0322581,0.0204349
0.516129,0.0322581,-0.0204349
0.548387,0.0322581,-0.0604681
0.580645,0.0322581,-0.0980257
0.612903,0.0322581,-0.13157
0.645161,0.0322581,-0.159728
0.677419,0.0322581,-0.181347
0.709677,0.0322581,-0.195541
0.741935,0.0322581,-0.20173
0.774194,0.0322581,-0.19966
0.806452,0.0322581,-0.189416
0.83871,0.0322581,-0.171417
0.870968,0.0322581,-0.1464
0.903226,0.0322581,-0.11539
0.935484,0.0322581,-0.0796556
0.967742,0.0322581,-0.0406601
1,0.0322581,0
0,0.0645161,0
0.0322581,0.0645161,0.0796556
0.0645161,0.0645161,0.15605
0.0967742,0.0645161,0.226056
0.129032,0.0645161,0.286807
0.16129,0.0645161,0.335816
0.193548,0.0645161,0.371077
0.225806,0.0645161,0.391145
0.258065,0.0645161,0.395201
0.290323,0.0645161,0.383077
0.322581,0.0645161,0.355269
0.354839,0.0645161,0.312917
0.387097,0.0645161,0.257754
0.419355,0.0645161,0.192038
0.451613,0.0645161,0.118461
0.483871,0.0645161,0.0400332
0.516129,0.0645161,-0.0400332
0.548387,0.0645161,-0.118461
0.580645,0.0645161,-0.192038
0.612903,0.0645161,-0.257754
0.645161,0.0645161,-0.312917
0.677419,0.0645161,-0.355269
0.709677,0.0645161,-0.383077
0.741935,0.0645161,-0.395201
0.774194,0.0645161,-0.391145
0.806452,0.0645161,-0.371077
0.83871,0.0645161,-0.335816
0.870968,0.0645161,-0.286807
0.903226,0.0645161,-0.226056
0.935484,0.0645161,-0.15605
0.967742,0.0645161,-0.0796556
1,0.0645161,0
0,0.0967742,0
0.0322581,0.0967742,0.11539
0.0645161,0.0967742,0.226056
0.0967742,0.0967742,0.327467
0.129032,0.0967742,0.415471
0.16129,0.0967742,0.486467
0.193548,0.0967742,0.537546
0.225806,0.0967742,0.566618
0.258065,0.0967742,0.572492
0.290323,0.0967742,0.554929
0.322581,0.0967742,0.514647
0.354839,0.0967742,0.453295
0.387097,0.0967742,0.373385
0.419355,0.0967742,0.278189
0.451613,0.0967742,0.171603
0.483871,0.0967742,0.0579925
0.516129,0.0967742,-0.0579925
0.548387,0.0967742,-0.171603
0.580645,0.0967742,-0.278189
0.612903,0.0967742,-0.373385
0.645161,0.0967742,-0.453295
0.677419,0.0967742,-0.514647
0.709677,0.0967742,-0.554929
0.741935,0.0967742,-0.572492
0.774194,0.0967742,-0.566618
0.806452,0.0967742,-0.537546
0.83871,0.0967742,-0.486467
0.870968,0.0967742,-0.415471
0.903226,0.0967742,-0.327467
0.935484,0.0967742,-0.226056
0.967742,0.0967742,-0.11539
1,0.0967742,0
0,0.129032,0
0.0322581,0.129032,0.1464
0.0645161,0.129032,0.286807
0.0967742,0.129032,0.415471
0.129032,0.129032,0.527127
0.16129,0.129032,0.617201
0.193548,0.129032,0.682008
0.225806,0.129032,0.718892
0.258065,0.129032,0.726346
0.290323,0.129032,0.704062
0.322581,0.129032,0.652955
0.354839,0.129032,0.575115
0.387097,0.129032,0.47373
0.419355,0.129032,0.35295
0.451613,0.129032,0.217721
0.483871,0.129032,0.0735776
0.516129,0.129032,-0.0735776
0.548387,0.129032,-0.217721
0.580645,0.129032,-0.35295
0.612903,0.129032,-0.47373
0.645161,0.129032,-0.575115
0.677419,0.129032,-0.652955
0.709677,0.129032,-0.704062
0.741935,0.129032,-0.726346
0.774194,0.129032,-0.718892
0.806452,0.129032,-0.682008
0.83871,0.129032,-0.617201
0.870968,0.129032,-0.527127
0.903226,0.129032,-0.415471
0.935484,0.129032,-0.286807
0.967742,0.129032,-0.1464
1,0.129032,0
0,0.16129,0
0.0322581,0.16129,0.171417
0.0645161,0.16129,0.335816
0.0967742,0.16129,0.486467
0.129032,0.16129,0.617201
0.16129,0.16129,0.722668
0.193548,0.16129,0.798548
0.225806,0.16129,0.841736
0.258065,0.16129,0.850463
0.290323,0.16129,0.824371
0.322581,0.16129,0.76453
0.354839,0.16129,0.673389
0.387097,0.16129,0.55468
0.419355,0.16129,0.413262
0.451613,0.16129,0.254924
0.483871,0.16129,0.0861504
0.516129,0.16129,-0.0861504
0.548387,0.16129,-0.254924
0.580645,0.16129,-0.413262
0.612903,0.16129,-0.55468
0.645161,0.16129,-0.673389
0.677419,0.16129,-0.76453
0.709677,0.16129,-0.824371
0.741935,0.16129,-0.850463
0.774194,0.16129,-0.841736
0.806452,0.16129,-0.798548
0.83871,0.16129,-0.722668
0.870968,0.16129,-0.617201
0.903226,0.16129,-0.486467
0.935484,0.16129,-0.335816
0.967742,0.16129,-0.171417
1,0.16129,0
0,0.193548,0
0.0322581,0.193548,0.189416
0.0645161,0.193548,0.371077
0.0967742,0.193548,0.537546
0.129032,0.193548,0.682008
0.16129,0.193548,0.798548
0.193548,0.193548,0.882396
0.225806,0.193548,0.930118
0.258065,0.193548,0.939761
0.290323,0.193548,0.910931
0.322581,0.193548,0.844806
0.354839,0.193548,0.744095
0.387097,0.193548,0.612921
0.419355,0.193548,0.456654
0.451613,0.193548,0.281691
0.483871,0.193548,0.0951963
0.516129,0.193548,-0.0951963
0.548387,0.193548,-0.281691
0.580645,0.193548,-0.456654
